avg_pick,name,player_id,pos,team,adp_rank,pts,points_rank,rank_diff,proj_pts,proj_pts_rank,proj_rank_diff,points_rank_diff
1.4,Todd Gurley II,17683,RB,LAR,1,372.1,4.0,-3.0,325.3,1.0,0.0,-3.0
3.3,David Johnson,17442,RB,Ari,2,246.6,39.0,-37.0,323.5,2.0,0.0,-37.0
4.0,Ezekiel Elliott,17797,RB,Dal,3,329.1,12.0,-9.0,301.5,6.0,-3.0,-6.0
5.3,Saquon Barkley,18567,RB,NYG,4,385.8,2.0,2.0,280.8,15.0,-11.0,13.0
5.5,Antonio Brown,13934,WR,Pit,5,323.7,15.0,-10.0,321.9,3.0,2.0,-12.0
5.8,Alvin Kamara,18187,RB,NO,6,354.2,6.0,0.0,292.3,8.0,-2.0,2.0
8.9,Kareem Hunt,18225,RB,FA,7,230.2,45.0,-38.0,258.0,36.0,-29.0,-9.0
9.1,Julio Jones,13982,WR,Atl,8,325.9,14.0,-6.0,291.7,9.0,-1.0,-5.0
11.3,Odell Beckham Jr.,16733,WR,NYG,9,230.3,44.0,-35.0,275.8,19.0,-10.0,-25.0
11.5,DeAndre Hopkins,15795,WR,Hou,10,333.5,9.0,1.0,281.3,14.0,-4.0,5.0
13.1,Leonard Fournette,18218,RB,Jax,11,120.4,130.0,-119.0,261.1,33.0,-22.0,-97.0
13.6,Dalvin Cook,18260,RB,Min,12,152.0,92.0,-80.0,262.0,31.0,-19.0,-61.0
15.8,Melvin Gordon,17586,RB,LAC,13,275.5,33.0,-20.0,264.4,30.0,-17.0,-3.0
17.1,Keenan Allen,15818,WR,LAC,14,260.1,37.0,-23.0,278.7,17.0,-3.0,-20.0
17.9,Michael Thomas,17834,WR,NO,15,315.5,16.0,-1.0,278.1,18.0,-3.0,2.0
18.1,Christian McCaffrey,18279,RB,Car,16,385.5,3.0,13.0,259.7,35.0,-19.0,32.0
18.8,Rob Gronkowski,13229,TE,NE,17,131.2,118.0,-101.0,251.1,40.0,-23.0,-78.0
20.6,A.J. Green,13983,WR,Cin,18,149.4,96.0,-78.0,266.3,29.0,-11.0,-67.0
20.7,Le'Veon Bell,15825,RB,Pit,19,0.0,200.0,-181.0,283.7,13.0,6.0,-187.0
22.2,Aaron Rodgers,8439,QB,GB,20,312.6,17.0,3.0,313.3,5.0,15.0,-12.0
23.7,Tom Brady,2330,QB,NE,21,281.3,29.0,-8.0,313.8,4.0,17.0,-25.0
24.7,Davante Adams,16800,WR,GB,22,329.6,11.0,11.0,251.5,39.0,-17.0,28.0
25.7,Devonta Freeman,16944,RB,Atl,23,14.1,196.0,-173.0,233.1,47.0,-24.0,-149.0
25.9,Mike Evans,16737,WR,TB,24,290.4,24.0,0.0,231.8,48.0,-24.0,24.0
26.4,LeSean McCoy,12514,RB,Buf,25,127.2,123.0,-98.0,251.8,38.0,-13.0,-85.0
27.9,Travis Kelce,15847,TE,KC,26,294.6,23.0,3.0,217.3,55.0,-29.0,32.0
29.5,Tyreek Hill,17929,WR,KC,27,334.0,8.0,19.0,231.3,49.0,-22.0,41.0
29.9,Joe Mixon,18193,RB,Cin,28,243.4,40.0,-12.0,205.4,59.0,-31.0,19.0
30.5,Jordan Howard,17919,RB,Chi,29,180.0,74.0,-45.0,202.9,62.0,-33.0,-12.0
32.4,Larry Fitzgerald,5528,WR,Ari,30,185.7,66.0,-36.0,241.9,43.0,-13.0,-23.0
32.9,Stefon Diggs,17676,WR,Min,31,266.3,34.0,-3.0,227.4,50.0,-19.0,16.0
33.3,T.Y. Hilton,14924,WR,Ind,32,239.0,42.0,-10.0,241.1,44.0,-12.0,2.0
34.1,Adam Thielen,17178,WR,Min,33,307.3,19.0,14.0,236.0,46.0,-13.0,27.0
36.7,Zach Ertz,15835,TE,Phi,34,280.3,30.0,4.0,212.1,57.0,-23.0,27.0
39.4,Kenyan Drake,17856,RB,Mia,35,206.2,56.0,-21.0,200.1,64.0,-29.0,8.0
39.9,Jay Ajayi,17556,RB,Phi,36,43.4,190.0,-154.0,168.3,98.0,-62.0,-92.0
42.1,Demaryius Thomas,13216,WR,Hou,37,156.7,88.0,-51.0,227.2,51.0,-14.0,-37.0
43.8,Doug Baldwin,14221,WR,Sea,38,141.8,103.0,-65.0,224.2,52.0,-14.0,-51.0
43.8,Amari Cooper,17677,WR,Dal,39,215.5,51.0,-12.0,221.7,54.0,-15.0,3.0
44.5,Royce Freeman,18630,RB,Den,40,101.3,150.0,-110.0,203.6,61.0,-21.0,-89.0
45.6,Allen Robinson,16799,WR,Chi,41,153.3,91.0,-50.0,222.2,53.0,-12.0,-38.0
46.6,Cam Newton,13994,QB,Car,42,282.6,28.0,14.0,299.1,7.0,35.0,-21.0
47.3,Jarvis Landry,16790,WR,Cle,43,217.1,49.0,-6.0,209.2,58.0,-15.0,9.0
49.2,Golden Tate,13217,WR,Phi,44,182.9,70.0,-26.0,215.9,56.0,-12.0,-14.0
49.7,Josh Gordon,15705,WR,NE,45,138.7,107.0,-62.0,200.0,65.0,-20.0,-42.0
50.3,Derrick Henry,17832,RB,Ten,46,201.4,58.0,-12.0,181.9,83.0,-37.0,25.0
52.1,JuJu Smith-Schuster,18306,WR,Pit,47,296.9,22.0,25.0,200.1,64.0,-17.0,42.0
52.6,Brandin Cooks,16731,WR,LAR,48,243.2,41.0,7.0,196.3,68.0,-20.0,27.0
52.8,Alex Collins,17933,RB,Bal,49,108.6,143.0,-94.0,190.9,71.0,-22.0,-72.0
53.7,Marvin Jones Jr.,15072,WR,Det,50,115.8,135.0,-85.0,204.8,60.0,-10.0,-75.0
54.4,Marshawn Lynch,10456,RB,Oak,51,79.0,170.0,-119.0,176.5,87.0,-36.0,-83.0
55.7,Chris Hogan,14402,WR,NE,52,106.2,148.0,-96.0,198.5,66.0,-14.0,-82.0
56.2,Russell Wilson,14881,QB,Sea,53,299.4,21.0,32.0,289.3,10.0,43.0,-11.0
59.0,Jimmy Graham,13232,TE,GB,54,130.6,121.0,-67.0,166.6,99.0,-45.0,-22.0
59.0,Greg Olsen,10475,TE,Car,55,80.1,167.0,-112.0,-0.2,199.0,-144.0,32.0
59.5,Deshaun Watson,18246,QB,Hou,56,331.7,10.0,46.0,274.6,20.0,36.0,10.0
59.6,Lamar Miller,14886,RB,Hou,57,172.6,78.0,-21.0,171.1,92.0,-35.0,14.0
61.8,Delanie Walker,9761,TE,Ten,58,9.2,197.0,-139.0,-0.8,200.0,-142.0,3.0
61.8,Dion Lewis,14198,RB,Ten,59,160.7,85.0,-26.0,171.6,91.0,-32.0,6.0
63.4,Evan Engram,18382,TE,NYG,60,126.3,124.0,-64.0,183.6,82.0,-22.0,-42.0
